form,source,title,author,content,poem_link-href,year,meter_pattern,rhyme_pattern,theme,imagery
Limerick,poetry_foundation,There was an Old Man with a Beard,Edward Lear,"There was an Old Man with a beard,
Who said, ""It is just as I feared! - 
Two Owls and a Hen, four Larks and a Wren,
Have all built their nests in my beard.",https://www.poetryfoundation.org/poems/45755/there-was-an-old-man-with-a-beard,,,AABA,About an old man with a beard,"owls, hen"
Limerick,poetry_foundation,There was an Old Person of Nice,Edward Lear,"There was an old person of Nice,
Whose associates were usually Geese.
They walked out together, in all sorts of weather.
That affable person of Nice!",https://www.poetryfoundation.org/poems/44609/there-was-an-old-person-of-nice,,,AABA,About an old person of Nice,weather
Limerick,poetry_foundation,There was an Old Man on the Border,Edward Lear,"There was an old man on the Border,
Who lived in the utmost disorder;
He danced with the cat, and made tea in his hat,
Which vexed all the folks on the Border.",https://www.poetryfoundation.org/poems/44608/there-was-an-old-man-on-the-border,,,AABA,About an old man on the border,
Limerick,poetry_foundation,There was an Old Man of Thermopylæ,Edward Lear,"There was an old man of Thermopylæ,
Who never did anything properly;
But they said, ""If you choose, To boil eggs in your shoes,
You shall never remain in Thermopylæ.""",https://www.poetryfoundation.org/poems/44607/there-was-an-old-man-of-thermopylae,,,AABA,About an old man of Thermopylæ,
Limerick,poetry_foundation,A Young Lady of Lynn,Anonymous,"There was a young lady of Lynn,
Who was so uncommonly thin
That when she essayed
To drink lemonade
She slipped through the straw and fell in.",https://www.poetryfoundation.org/poems/42910/a-young-lady-of-lynn,,,AABBA,About a young lady of Lynn,drink
Ballad,poetry_foundation,To One Unknown,Helen Dudley,"I have seen the proudest stars
That wander on through space,
Even the sun and moon,
But not your face.

I have heard the violin,
The winds and waves rejoice
in endless minstrelsy,
Yet not your voice.

I have touched the trillium,
Pale flower of the land,
Coral, anemone,
And not your hand.

I have kissed the shining feet
Of Twilight lover-wise,
Opened the gates of Dawn - 
Oh not your eyes!

I have dreamed unwonted things,
Visions that witches brew,
Spoken with images,
Never with you.",https://www.poetryfoundation.org/poetrymagazine/poems/12583/to-one-unknown,,,ABCB,"About the unknown lover and the search of rare, hidden love","face, anemone, waves, flower, winds, eyes, stars, moon"
Ballad,poetry_foundation,The Ballad of God-Makers,G. K. Chesterton,"A bird flew out at the break of day
From the nest where it had curled,
And ere the eve the bird had set
Fear on the kings of the world.

The first tree it lit upon
Was green with leaves unshed;
The second tree it lit upon
Was red with apples red;

The third tree it lit upon
Was barren and was brown,
Save for a dead man nailed thereon
On a hill above a town.

That night the kings of the earth were gay
And filled the cup and can;
Last night the kings of the earth were chill
For dread of a naked man.

‘If he speak two more words,’ they said,
‘The slave is more than the free;
If he speak three more words,’ they said,
‘The stars are under the sea.’

Said the King of the East to the King of the West,
I wot his frown was set,
‘Lo, let us slay him and make him as dung,
It is well that the world forget.’

Said the King of the West to the King of the East,
I wot his smile was dread,
‘Nay, let us slay him and make him a god,
It is well that our god be dead.’

They set the young man on a hill,
They nailed him to a rod;
And there in darkness and in blood
They made themselves a god.

And the mightiest word was left unsaid,
And the world had never a mark,
And the strongest man of the sons of men
Went dumb into the dark.

Then hymns and harps of praise they brought,
Incense and gold and myrrh,
And they thronged above the seraphim,
The poor dead carpenter.

‘Thou art the prince of all,’ they sang,
‘Ocean and earth and air.’
Then the bird flew on to the cruel cross,
And hid in the dead man’s hair.

‘Thou art the son of the world.’ they cried, `
‘Speak if our prayers be heard.’
And the brown bird stirred in the dead man’s hair
And it seemed that the dead man stirred.

Then a shriek went up like the world’s last cry
From all nations under heaven,
And a master fell before a slave
And begged to be forgiven.

They cowered, for dread in his wakened eyes
The ancient wrath to see;
And a bird flew out of the dead Christ’s hair,
And lit on a lemon tree.",https://www.poetryfoundation.org/poems/47921/the-ballad-of-god-makers,,,ABCB,About the kings of the earth killing Christ and making him god ,"air, apples, ocean, tree, god, eyes, bird, stars, sea, mark, hill"
Ballad,poetry_foundation,Similar Cases,Charlotte Anna Perkins Gilman,"There was once a little animal,
No bigger than a fox,
And on five toes he scampered
Over Tertiary rocks.
They called him Eohippus,
And they called him very small,
And they thought him of no value --
When they thought of him at all;
For the lumpish old Dinoceras
And Coryphodon so slow
Were the heavy aristocracy
In days of long ago.

Said the little Eohippus,
“I am going to be a horse!
And on my middle finger-nails
To run my earthly course!
I’m going to have a flowing tail!
I’m going to have a mane!
I’m going to stand fourteen hands high
On the psychozoic plain!”

The Coryphodon was horrified,
The Dinoceras was shocked;
And they chased young Eohippus,
But he skipped away and mocked.
Then they laughed enormous laughter,
And they groaned enormous groans.
And they bade young Eohippus
Go view his father’s bones.
Said they, “You always were as small
And mean as now we see,
And that’s conclusive evidence
That you’re always going to be.
What! Be a great, tall, handsome beast,
With hoofs to gallop on?
Why! You’d have to change your nature!
Said the Loxolophodon.
They considered him disposed of,
And retired with gait serene;
That was the way they argued
In “the early Eocene”.
There was once an Anthropoidal Ape,
Far smarter than the rest,
And everything that they could do
He always did the best;
So they naturally disliked him
And they gave him shoulders cool,
And when they had to mention him
They said he was a fool.

Cried this pretentious Ape one day,
“I’m going to be a man!
And stand upright, and hunt, and fight,
And conquer all I can!
I’m going to cut down forest trees,
To make my houses higher!
I’m going to kill the Mastodon!
I’m going to make a fire!”

Loud screamed the Anthropoidal Apes
With laughter wild and gay;
They tried to catch that boastful one,
But he always got away.
So they yelled at him in chorus,
Which he minded not a whit;
And they pelted him with cocoanuts,
Which didn’t seem to hit.
And then they gave him reasons
Which they thought of much avail,
To prove how his preposterous
Attempt was sure to fail.
Said the sages, “In the first place,
The thing cannot be done!
And, second, if it could be,
It would not be any fun!
And, third, and most conclusive,
And admitting no reply,
You would have to change your nature!
We should like to see you try!”
They chuckled then triumphantly,
These lean and hairy shapes,
For these things passed as arguments
With the Anthropoidal Apes.

There was once a Neolithic Man,
An enterprising wight,
Who made his chopping implements
Unusually bright.
Unusually clever he,
Unusually brave,
And he drew delightful Mammoths
On the borders of his cave.
To his Neolithic neighbours,
Who were startled and surprised,
Said he, “My friends, in course of time,
We shall be civilized!
We are going to live in cities!
We are going to fight in wars!
We are going to eat three times a day
Without the natural cause!
We are going to turn life upside down
About a thing called gold!
We are going to want the earth, and take
As much as we can hold!
We are going to wear great piles of stuff
Outside our proper skins!
We are going to have Diseases!
And Accomplishments!! And Sins!!!”

Then they all rose up in fury
Against their boastful friend,
For prehistoric patience
Cometh quickly to an end.
Said one, “This is chimerical!
Utopian! Absurd!”
Said another, “What a stupid life!
Too dull, upon my word!”
Cried all, Before such things can come,
You idiotic child,
You must alter Human Nature!”
And they all sat back and smiled.
Thought they, “An answer to that last
It will be hard to find!”
It was a clinching argument
To the Neolithic Mind!",https://www.poetryfoundation.org/poems/46060/similar-cases,,,ABCB,About pursuing change and evolution full of resistance and criticism,"trees, animal, tail, beast, piles"
Ballad,poetry_foundation,Sing me a Song of a Lad that is Gone,Robert Louis Stevenson,"Sing me a song of a lad that is gone,
Say, could that lad be I?
Merry of soul he sailed on a day
Over the sea to Skye.

Mull was astern, Rum on the port,
Eigg on the starboard bow;
Glory of youth glowed in his soul;
Where is that glory now?

Sing me a song of a lad that is gone,
Say, could that lad be I?
Merry of soul he sailed on a day
Over the sea to Skye.

Give me again all that was there,
Give me the sun that shone!
Give me the eyes, give me the soul,
Give me the lad that's gone!

Sing me a song of a lad that is gone,
Say, could that lad be I?
Merry of soul he sailed on a day
Over the sea to Skye.

Billow and breeze, islands and seas,
Mountains of rain and sun,
All that was good, all that was fair,
All that was me is gone.",https://www.poetryfoundation.org/poems/45949/sing-me-a-song-of-a-lad-that-is-gone,,,ABCB,About aging and the loss of innocence,"mountains, seas, breeze, eyes, bow, sun, billow, sea"
Ballad,poetry_foundation,Yarrow Unvisited,William Wordsworth,"From Stirling castle we had seen
The mazy Forth unravelled;
Had trod the banks of Clyde, and Tay,
And with the Tweed had travelled;
And when we came to Clovenford,
Then said my ""winsome Marrow ,""
""Whate'er betide, we'll turn aside,
And see the Braes of Yarrow.""

""Let Yarrow folk, frae Selkirk town,
Who have been buying, selling,
Go back to Yarrow, 'tis their own;
Each maiden to her dwelling!
On Yarrow's banks let her herons feed,
Hares couch, and rabbits burrow!
But we will downward with the Tweed
Nor turn aside to Yarrow.

""There's Galla Water, Leader Haughs,
Both lying right before us;
And Dryborough, where with chiming Tweed
The lintwhites sing in chorus;
There's pleasant Tiviot-dale, a land
Made blithe with plough and harrow:
Why throw away a needful day
To go in search of Yarrow?

""What's Yarrow but a river bare,
That glides the dark hills under?
There are a thousand such elsewhere
As worthy of your wonder.""
 - Strange words they seemed of slight and scorn;
My True-love sighed for sorrow;
And looked me in the face, to think
I thus could speak of Yarrow!

""Oh! green,"" said I, ""are Yarrow's holms,
And sweet is Yarrow flowing!
Fair hangs the apple frae the rock,
But we will leave it growing.
O'er hilly path, and open Strath,
We'll wander Scotland thorough;
But, though so near, we will not turn
Into the dale of Yarrow.

""Let beeves and home-bred kine partake
The sweets of Burn-mill meadow,
The swan on still St. Mary's Lake
Float double, swan and shadow!
We will not see them; will not go,
To-day, nor yet to-morrow;
Enough if in our hearts we know
There's such a place as Yarrow.

""Be Yarrow stream unseen, unknown!
It must, or we shall rue it:
We have a vision of our own;
Ah! why should we undo it?
The treasured dreams of times long past,
We'll keep them, winsome Marrow!
For when we'er there, although 'tis fair,
'Twill be another Yarrow!

""If Care with freezing years should come,
And wandering seem but folly, - 
Should we be loth to stir from home,
And yet be melancholy;
Should life be dull, and spirits low,
'Twill soothe us in our sorrow,
That earth has something yet to show,
The bonny holms of Yarrow!""",https://www.poetryfoundation.org/poems/45568/yarrow-unvisited,,,ABCBDEFE,It is better not to go somewhere than to go and risk being disappointed,"river, face, apple, hills, spirits, stream, water"
